PairDate,Weather,Breeding,Food
AL228_AL221_20190719,S,No,Yes
AL109_AL153_20190719,S,No,Yes
AL238_AL234_20190719,S,No,No
AL223_AL156_20190719,S,No,Yes
AL195_AL164_20190720,S,Sit,No
AL207_AL186_20190720,S,No,No
AL197_AL209_20190720,S,Sit,Yes
AL114_AL147_20190720,S,No,Yes
AL198_AL201_20190720,S,No,No
AL122_AL194_20190720,S,No,Yes
AL216_AL159_20190525,S,Sit,Yes
AL216_AL159_20190603,S,Sit,Yes
AL216_AL159_20190612,S,No,No
AL216_AL159_20190628,O,No,Yes
AL216_AL159_20190702,S,No,Yes
